fileName,good,startPulse,endPulse
RAXPOL-20240524-000839.083.rkc,True,0,49013
RAXPOL-20240524-000851.337.rkc,True,9700,79275
RAXPOL-20240524-000911.157.rkc,True,10800,80342
RAXPOL-20240524-000931.232.rkc,True,10100,81045
RAXPOL-20240524-000951.483.rkc,True,9200,78831
RAXPOL-20240524-001011.189.rkc,True,29300,99371
RAXPOL-20240524-001036.030.rkc,True,8900,78347
RAXPOL-20240524-001055.609.rkc,True,1200,70862
RAXPOL-20240524-001113.316.rkc,True,1400,71347
RAXPOL-20240524-001131.151.rkc,True,13300,82362
RAXPOL-20240524-001151.737.rkc,True,9000,79772
RAXPOL-20240524-001211.688.rkc,True,20800,88263
RAXPOL-20240524-001233.753.rkc,True,9600,80593
RAXPOL-20240524-001253.898.rkc,True,10300,81571
RAXPOL-20240524-001314.284.rkc,True,9000,78379
RAXPOL-20240524-001333.883.rkc,True,1100,70574
RAXPOL-20240524-001351.531.rkc,True,1100,71390
RAXPOL-20240524-001409.372.rkc,True,9100,79364
RAXPOL-20240524-001429.213.rkc,True,9200,80989
RAXPOL-20240524-001449.468.rkc,True,9100,79282
RAXPOL-20240524-001509.292.rkc,True,10600,81234
RAXPOL-20240524-001529.597.rkc,True,9100,79161
RAXPOL-20240524-001549.388.rkc,True,9000,79728
RAXPOL-20240524-001609.322.rkc,True,900,71346
RAXPOL-20240524-001627.161.rkc,True,1100,70578
RAXPOL-20240524-001644.793.rkc,True,9300,78510
RAXPOL-20240524-001704.424.rkc,True,9100,80049
RAXPOL-20240524-001724.438.rkc,True,10600,78713
RAXPOL-20240524-001744.116.rkc,True,14400,81638
RAXPOL-20240524-001804.516.rkc,True,9300,78146
RAXPOL-20240524-001824.051.rkc,True,14300,81274
RAXPOL-20240524-001844.370.rkc,True,17700,84035
RAXPOL-20240524-001905.376.rkc,True,1000,69236
RAXPOL-20240524-001922.687.rkc,True,9800,81961
RAXPOL-20240524-001943.181.rkc,True,15800,81928
RAXPOL-20240524-002003.660.rkc,True,14700,80827
RAXPOL-20240524-002023.866.rkc,True,17300,83066
RAXPOL-20240524-002044.633.rkc,True,14500,80332
RAXPOL-20240524-002104.712.rkc,True,17800,83751
RAXPOL-20240524-002125.654.rkc,True,900,67771
RAXPOL-20240524-002142.597.rkc,True,1000,67606
RAXPOL-20240524-002159.492.rkc,True,14700,80341
RAXPOL-20240524-002219.572.rkc,True,12700,81568
RAXPOL-20240524-002239.969.rkc,True,14500,80660
RAXPOL-20240524-002300.129.rkc,True,16000,28373
RAXPOL-20240524-002307.231.rkc,False,0,0
RAXPOL-20240524-002307.264.rkc,False,0,0
RAXPOL-20240524-002308.464.rkc,False,0,0
RAXPOL-20240524-002308.511.rkc,False,0,0
RAXPOL-20240524-002310.480.rkc,False,0,0
RAXPOL-20240524-002310.543.rkc,False,0,0
RAXPOL-20240524-002312.512.rkc,False,0,0
RAXPOL-20240524-002312.560.rkc,False,0,0
RAXPOL-20240524-002314.511.rkc,False,0,0
RAXPOL-20240524-002314.576.rkc,False,0,0
RAXPOL-20240524-002315.360.rkc,False,0,0
RAXPOL-20240524-002315.812.rkc,False,0,0
RAXPOL-20240524-002316.068.rkc,False,0,0
RAXPOL-20240524-002316.308.rkc,False,0,0
RAXPOL-20240524-002316.533.rkc,False,0,0
RAXPOL-20240524-002316.756.rkc,False,0,0
RAXPOL-20240524-002316.997.rkc,False,0,0
RAXPOL-20240524-002317.572.rkc,True,200,14000
RAXPOL-20240524-002325.297.rkc,True,500,53881
RAXPOL-20240524-002338.768.rkc,True,900,54875
RAXPOL-20240524-002352.480.rkc,True,12700,66097
RAXPOL-20240524-002409.007.rkc,False,0,0
RAXPOL-20240524-002416.784.rkc,False,0,0
RAXPOL-20240524-002421.486.rkc,False,0,0
RAXPOL-20240524-002424.110.rkc,False,0,0
RAXPOL-20240524-002424.573.rkc,False,0,0
RAXPOL-20240524-002424.798.rkc,False,0,0
RAXPOL-20240524-002425.022.rkc,False,0,0
RAXPOL-20240524-002425.261.rkc,False,0,0
RAXPOL-20240524-002425.486.rkc,False,0,0
RAXPOL-20240524-002425.726.rkc,False,0,0
RAXPOL-20240524-002426.238.rkc,False,0,0
RAXPOL-20240524-002437.166.rkc,False,0,0
RAXPOL-20240524-002437.502.rkc,True,12900,66185
RAXPOL-20240524-002454.059.rkc,True,13700,67033
RAXPOL-20240524-002510.811.rkc,True,12200,65857
RAXPOL-20240524-002527.274.rkc,True,13500,66668
RAXPOL-20240524-002543.944.rkc,True,14300,80782
RAXPOL-20240524-002604.135.rkc,True,900,68056
RAXPOL-20240524-002621.143.rkc,True,12900,80335
RAXPOL-20240524-002641.236.rkc,True,14800,81241
RAXPOL-20240524-002701.540.rkc,True,12000,80056
RAXPOL-20240524-002721.554.rkc,True,16900,83076
RAXPOL-20240524-002742.321.rkc,True,11400,79194
RAXPOL-20240524-002802.113.rkc,True,16200,82704
RAXPOL-20240524-002822.798.rkc,False,0,0
RAXPOL-20240524-002827.982.rkc,False,0,0
RAXPOL-20240524-002828.030.rkc,False,0,0
RAXPOL-20240524-002829.662.rkc,False,0,0
RAXPOL-20240524-002829.695.rkc,False,0,0
RAXPOL-20240524-002831.662.rkc,False,0,0
RAXPOL-20240524-002831.711.rkc,False,0,0
RAXPOL-20240524-002833.678.rkc,False,0,0
RAXPOL-20240524-002833.725.rkc,False,0,0
RAXPOL-20240524-002835.693.rkc,False,0,0
RAXPOL-20240524-002835.726.rkc,False,0,0
RAXPOL-20240524-002836.430.rkc,False,0,0
RAXPOL-20240524-002851.485.rkc,True,1400,26300
RAXPOL-20240524-002900.316.rkc,True,400,66821
RAXPOL-20240524-002917.019.rkc,True,1000,68138
